token,dep_type,pos,immediate_head_text,immediate_head_pos,immediate_head_dep_type,higher_head_text,higher_head_pos,higher_head_dep_type,assosiate_phrase,assosiate_phrase_n
лишь,advmod,PART,здесь,ADV,advmod,шьют,VERB,conj,", но на 10-миллионную Москву здесь шьют современную одежду в народном стиле , которую носят не только мастерицы ( причём не из патриотизма , а потому что это красиво , модно и всем нравится ) , но и школьницы , те самые современные подростки , которые до прихода в клуб кроме джинсов ни о чём и слышать не хотели",59.0
лишь,advmod,PART,треть,NOUN,obj,треть,NOUN,obj,треть всего объёма лесных ресурсов,5.0
лишь,advmod,PART,взгляд,NOUN,conj,взгляд,NOUN,conj,", однако , на первый взгляд : режиссёра интересует не болезнь ― "" инаковость "" , некая живая материя как носитель априорных ценностей",23.0
лишь,advmod,PART,сальдирующие,VERB,amod,значения,NOUN,nsubj:pass,сальдирующие значения экономических операций,4.0
лишь,advmod,PART,способ,NOUN,obj,способ,NOUN,obj,способ доступа к соответствующему сервису,5.0
лишь,advmod,PART,чаепитием,NOUN,obl,чаепитием,NOUN,obl,чаепитием,1.0
лишь,advmod,PART,количественную,ADJ,amod,информацию,NOUN,obj,в основном количественную информацию,4.0
лишь,advmod,PART,некоторых,DET,obl,некоторых,DET,obl,о некоторых,2.0
лишь,advmod,PART,главная,ADJ,amod,тенденция,NOUN,nsubj:pass,главная тенденция,2.0
лишь,advmod,PART,провести,VERB,conj,провести,VERB,conj,", бы провести спектакль в Госдуме",6.0
лишь,advmod,PART,подписании,NOUN,obl,подписании,NOUN,obl,"в подписании соглашения о сотрудничестве с движением "" Спортивная Россия """,11.0
лишь,advmod,PART,эпизодический,ADJ,amod,интерес,NOUN,obj,эпизодический интерес для минералогов,4.0
лишь,advmod,PART,узел,NOUN,ROOT,узел,NOUN,ROOT,узел,1.0
лишь,advmod,PART,9,NUM,nummod,миллиона,NOUN,nsubj,"9 , 5 миллиона",4.0
лишь,advmod,PART,один,NUM,nummod,пример,NOUN,obj,один пример,2.0
лишь,advmod,PART,затем,ADV,advmod,вступил,VERB,ROOT,затем,1.0
лишь,advmod,PART,37,NUM,nummod,рублей,NOUN,obj,37 млрд рублей,3.0
лишь,advmod,PART,растений,NOUN,obl,растений,NOUN,obl,"для растений , имеющих крупные кожистые листья ( фикус каучуконосный , монстера и др . )",16.0
лишь,advmod,PART,%,SYM,obl,%,SYM,obl,на 33 % и только с октября - перед выборами в Думу,12.0
лишь,advmod,PART,процентов,NOUN,obl,процентов,NOUN,obl,около 15 - 35 процентов ( в зависимости от строгости оценки ) граждан,13.0
лишь,advmod,PART,дроблению,NOUN,obl,дроблению,NOUN,obl,"к дроблению бизнеса , увеличению количества предприятий",7.0
лишь,advmod,PART,расстояний,NOUN,obl,расстояний,NOUN,obl,для больших расстояний,3.0
лишь,advmod,PART,крохотный,ADJ,amod,фрагмент,NOUN,ROOT,крохотный,1.0
лишь,advmod,PART,годы,NOUN,obl,годы,NOUN,obl,в последние годы,3.0
лишь,advmod,PART,возрастала,VERB,ROOT,возрастала,VERB,ROOT,возрастала,1.0
лишь,advmod,PART,истечении,NOUN,obl,истечении,NOUN,obl,"по истечении 50 лет после года присуждения премии , о причинах упомянутого решения Нобелевского комитета",15.0
лишь,advmod,PART,Секретная,ADJ,amod,служба,NOUN,nsubj,"Секретная служба , отвечающая за охрану главных лиц государства",9.0
лишь,advmod,PART,день,NOUN,obl,день,NOUN,obl,на следующий день,3.0
лишь,advmod,PART,одного,NUM,nummod,года,NOUN,obl,В течение всего одного года,5.0
лишь,advmod,PART,партизанскими,ADJ,amod,тропами,NOUN,obl,партизанскими тропами,2.0
лишь,advmod,PART,отчасти,ADV,conj,отчасти,ADV,conj,", но отчасти",3.0
лишь,advmod,PART,размеры,NOUN,nsubj,размеры,NOUN,nsubj,"размеры "" пузыря """,4.0
лишь,advmod,PART,увидев,VERB,advcl,увидев,VERB,advcl,увидев её игру своими глазами,5.0
лишь,advmod,PART,кучка,NOUN,nsubj,кучка,NOUN,nsubj,кучка серо - чёрного песка под ногами,7.0
лишь,advmod,PART,заставить,VERB,csubj,заставить,VERB,csubj,заставить российские власти покончить с пиратством,6.0
лишь,advmod,PART,отчасти,ADV,advmod,помогает,VERB,ROOT,отчасти,1.0
лишь,advmod,PART,периодов,NOUN,obl,периодов,NOUN,obl,для непродолжительных периодов засухи,4.0
лишь,advmod,PART,процентов,NOUN,obl,процентов,NOUN,obl,на 14 процентов голосов,4.0
лишь,advmod,PART,том,PRON,ROOT,том,PRON,ROOT,том,1.0
лишь,advmod,PART,правильно,ADV,advmod,расставить,VERB,xcomp,"правильно расставить их , чтобы понять их эволюцию",8.0
лишь,advmod,PART,отчасти,ADV,conj,отчасти,ADV,conj,", но отчасти",3.0
лишь,advmod,PART,работников,NOUN,nsubj,работников,NOUN,nsubj,"работников , получающих зарплату из федеральной казны",7.0
лишь,advmod,PART,базовая,ADJ,amod,часть,NOUN,nsubj,базовая часть пенсии,3.0
лишь,advmod,PART,неделю,NOUN,conj,неделю,NOUN,conj,", а неделю",3.0
лишь,advmod,PART,незначительная,ADJ,amod,часть,NOUN,nsubj,незначительная их часть,3.0
лишь,advmod,PART,2,NUM,nummod:gov,банки,NOUN,obj,2 банки молока,3.0
лишь,advmod,PART,однозначный,ADJ,amod,ответ,NOUN,obj,однозначный ответ,2.0
лишь,advmod,PART,укажу,NOUN,conj,укажу,NOUN,conj,", укажу , что при взаимодействии с представителями наук о неживой и живой природе психологи столкнутся не только с благожелательной готовностью вникнуть в понятийный строй психологии , но ( как это случалось и раньше ) также со стереотипами естественно - научного мышления , с недооценкой того , что психология имеет дело с невоспроизводимыми , нестандартными и не стандартизуемыми явлениями , процессами",61.0
лишь,advmod,PART,формальностью,NOUN,xcomp,формальностью,NOUN,xcomp,формальностью,1.0
лишь,advmod,PART,осуществление,NOUN,obl,осуществление,NOUN,obl,на осуществление ничтожной части задуманного,5.0
лишь,advmod,PART,затем,ADV,advmod,воспринимать,VERB,conj,и затем воспринимать проблему как целостное системное образование,8.0
лишь,advmod,PART,левом,ADJ,orphan,левом,ADJ,orphan,― в левом,3.0
лишь,advmod,PART,отдают,VERB,conj,отдают,VERB,conj,", а отдают распоряжения",4.0
лишь,advmod,PART,понедельник,NOUN,obl,понедельник,NOUN,obl,в этот понедельник,3.0
лишь,advmod,PART,2,NUM,nummod:gov,процента,NOUN,nsubj,2 процента горожан,3.0
лишь,advmod,PART,его,PRON,nmod,глава,NOUN,nsubj:pass,его глава,2.0
лишь,advmod,PART,формулами,NOUN,obl,формулами,NOUN,obl,"формулами , графиками и гипотетическими рассуждениями о его разрушительной мощности",10.0
лишь,advmod,PART,линейку,NOUN,obj,линейку,NOUN,obj,линейку,1.0
лишь,advmod,PART,качественный,ADJ,amod,экран,NOUN,nsubj,качественный экран и грамотное размещение,5.0
